epoch,train_loss,train_acc,val_loss,val_acc
1,0.9433,0.5936,0.6595,0.7396
2,0.7639,0.6925,0.5487,0.7943
3,0.6733,0.7322,0.4169,0.8692
4,0.6054,0.769,0.4553,0.8252
5,0.5577,0.7802,0.3859,0.8585
6,0.5552,0.7707,0.3267,0.8918
7,0.52,0.798,0.4456,0.83
8,0.4514,0.8323,0.385,0.8526
9,0.4428,0.8267,0.3422,0.8704
10,0.4072,0.8451,0.2903,0.8966
11,0.4067,0.8477,0.2801,0.8942
12,0.4115,0.8386,0.3078,0.8859
13,0.4021,0.8421,0.3025,0.8882
14,0.3932,0.8469,0.2663,0.8954
15,0.3842,0.8454,0.2644,0.9061
16,0.3865,0.8534,0.2636,0.9001
17,0.3729,0.854,0.2801,0.893
18,0.3847,0.8534,0.2591,0.9001
19,0.3688,0.8569,0.2622,0.8954
20,0.3855,0.846,0.2698,0.9025
21,0.3716,0.8531,0.2728,0.8989
22,0.3816,0.8463,0.2522,0.9073
23,0.3789,0.8534,0.2645,0.9049
24,0.3874,0.8513,0.2629,0.9037
25,0.3843,0.8507,0.2723,0.8966
